ID	TSN	Name	Phylum
1	10824	Pilayella littoralis	Phaeophyta
2	11217	Laminaria	Phaeophyta
3	11246	Agarum	Phaeophyta
4	11250	Costaria costata	Phaeophyta
5	11255	Saccharina sessile	Phaeophyta
6	11277	Nereocystis luetkeana	Phaeophyta
7	11289	Alaria	Phaeophyta
8	11314	Desmarestia	Phaeophyta
9	113265	Staphylinidae	Arthropoda
10	11334	Fucus	Phaeophyta
11	11365	Cystoseira	Phaeophyta
12	11424	Colpomenia	Phaeophyta
13	11531	Bangia	Rhodophyta
14	11540	Porphyra	Rhodophyta
15	12322	Corallina	Rhodophyta
16	12441	Bossiella	Rhodophyta
17	12841	Palmaria	Rhodophyta
18	13080	Microcladia	Rhodophyta
19	13440	Polysiphonia	Rhodophyta
20	13583	Odonthalia	Rhodophyta
21	14035	Caloplaca	Ascomycota
22	14050	Verrucaria	Ascomycota
23	1447	Chrysophyta	Chrysophyta
24	154883	Phascolosomatidae	Sipuncula
25	155456	Phoronida	Phoronida
26	155471	Gymnolaemata	Ectoprocta
27	156829	Terebratalia transversa	Brachiopoda
28	157075	Solaster dawsoni	Echinodermata
29	157076	Solaster endeca	Echinodermata
30	157078	Solaster stimpsoni	Echinodermata
31	157139	Dermasterias imbricata	Echinodermata
32	157152	Henricia	Echinodermata
33	157224	Evasterias troschelii	Echinodermata
34	157225	Leptasterias	Echinodermata
35	157270	Orthasterias koehleri	Echinodermata
36	157274	Pycnopodia helianthoides	Echinodermata
37	157325	Ophiuroidea	Echinodermata
38	157969	Strongylocentrotus droebachiensis	Echinodermata
39	158187	Eupentacta	Echinodermata
40	158191	Cucumaria	Echinodermata
41	158423	Apodacea	Echinodermata
42	159300	Styela	Chordata
43	159446	Pyura	Chordata
44	162030	Hypomesus pretiosus	Chordata
45	164457	Gobiesocidae	Chordata
46	166365	Gasterosteus aculeatus	Chordata
47	167211	Artedius	Chordata
48	167222	Clinocottus	Chordata
49	167279	Hemilepidotus hemilepidotus	Chordata
50	167333	Oligocottus maculosus	Chordata
51	170919	Trichodon trichodon	Chordata
52	171564	Anoplarchus purpurescens	Chordata
53	171598	Xiphister atropurpureus	Chordata
54	171599	Xiphister mucosus	Chordata
55	171637	Pholis	Chordata
56	171672	Ammodytes hexapterus	Chordata
57	180092	Homo sapiens	Chordata
58	180547	Enhydra lutris	Chordata
59	180603	Vulpes	Chordata
60	180625	Eumetopias jubatus	Chordata
61	180649	Phoca vitulina	Chordata
62	202421	Bacteria	Bacteria
63	2135	Prymnesiophyceae	Haptophyta
64	2286	Bacillariophyta	Bacillariophyta
65	39074	Zostera marina	Magnoliophyta
